epoch,loss,sparse_categorical_accuracy,val_loss,val_sparse_categorical_accuracy
0,1.3017550706863403,0.5214285850524902,0.6513123512268066,0.7770960927009583
1,0.8140441179275513,0.706428587436676,0.5036062598228455,0.8220859169960022
2,0.6824671030044556,0.7501190304756165,0.4379971921443939,0.8537832498550415
3,0.6085719466209412,0.7780952453613281,0.39829397201538086,0.8619632124900818
4,0.5555667281150818,0.7950000166893005,0.342663437128067,0.8875255584716797
5,0.531457781791687,0.8096428513526917,0.35257095098495483,0.8773006200790405
6,0.5028363466262817,0.8145238161087036,0.31298765540122986,0.8967280387878418
7,0.4665847420692444,0.829285740852356,0.30225667357444763,0.9018405079841614
8,0.4460013806819916,0.8370237946510315,0.2652710974216461,0.9110429286956787
9,0.42584848403930664,0.8438095450401306,0.26562854647636414,0.906952977180481
